training_window,n_train,validation_window,validation_auc,test_window,test_auc
through_2014,466345,2015,0.7249405594713616,2016-2017,0.7118564306240899
2015_only,336876,2015_holdout,0.7292394687317602,2016-2017,0.7204588434255463
