lgd,threshold,approval_rate,flat_region_low,flat_region_high,savings_vs_approve_all
0.4,0.62,0.9948960124477833,0.53,1.0,582904.1200000048
0.5,0.53,0.9844204496464374,0.52,1.0,2879668.4399999976
0.622,0.48000000000000004,0.963935124849482,0.42000000000000004,0.61,9352434.089996755
0.7,0.41000000000000003,0.9201052511607856,0.36000000000000004,0.51,16836933.160000205
0.8,0.36000000000000004,0.8739810607374519,0.29000000000000004,0.41000000000000003,34292816.31999946
