segment,value,n_2015,n_2016_2017,auc_2015,auc_2016_2017,auc_drop,base_rate_2015,base_rate_2016_2017
grade,1,73336,149643,0.6228718048176998,0.6210145325988292,0.0018572722188705537,0.008276971746481947,0.011166576451955654
grade,2,117606,267639,0.6080045066156317,0.6033226699797869,0.0046818366358447605,0.020169038994609118,0.025601649983746762
grade,3,120567,277322,0.6017441108895054,0.5877782268397691,0.01396588404973631,0.040533479310259024,0.04696345764129784
grade,4,62654,115824,0.5916893987858222,0.5770997874006021,0.01458961138522008,0.06743384301082134,0.0796985080812267
grade,5,34948,45974,0.5901799818566256,0.5715726712998707,0.018607310556754908,0.09056312235321048,0.11752294775307782
grade,6,9817,15576,0.5992264919911118,0.5537138280597423,0.045512663931369435,0.13700723235204237,0.16358500256805342
grade,7,2167,6008,0.5795305212708391,0.5608724040402377,0.0186581172306014,0.18181818181818182,0.20256324900133155
term_months,36,283173,643914,0.7252954598924062,0.7095440268711384,0.015751433021267802,0.03482676667620147,0.04150554266563547
term_months,60,137922,234072,0.7100516162548605,0.7069080191653871,0.0031435970894733156,0.0517176375052566,0.05647834854232885
