feature_set,n_features,auc_2015,auc_2016_2017,auc_drop,ap_2015,ap_2016_2017
grade_only,1,0.7032024650393194,0.693812213450953,0.009390251588366372,0.08139898305051603,0.09199375375663897
incumbent_only,3,0.705847521058605,0.7013323092733349,0.004515211785270146,0.08858641502225598,0.10146730180019115
applicant_only,43,0.7027039125806613,0.6884262453598788,0.014277667220782497,0.09035668611539187,0.09210274936744181
full,46,0.7249405594713616,0.7118564306240899,0.013084128847271725,0.10025690827681957,0.10668051342173997
