bin,n,mean_predicted,observed_rate
3,16333,0.19013481687191305,0.0385722157595053
4,80175,0.22735249952878672,0.11494855004677268
5,89349,0.2724035869699115,0.25757423138479446
6,15946,0.309143696833608,0.46594757305907436
